dataset_id,size,number_of_classes,number_of_literals,number_of_entities,number_of_properties,number_of_connections,number_of_connected_vertices,average_literals_per_vertex,relevance
10071,802141,970,10670,970,12610,1940,972,11.0,0.0
10072,1228460,500,22900,500,23900,1000,501,45.8,0.0
10073,1561680,500,8504,500,9504,1000,501,17.008,0.0
1008,418445,0,8500,0,9000,500,501,17.0,0.0
10085,820258,985,8724,985,10694,1970,987,8.857,0.0
10086,1426930,0,19747,0,20247,500,501,39.494,0.0
10087,973092,0,13316,0,13816,500,501,26.632,0.0
10088,3437749,0,40930,0,41430,500,501,81.86,0.0
10089,164245,278,1911,278,2467,556,279,6.874,0.0
1009,434306,0,9000,0,9500,500,501,18.0,0.0
10090,268019,500,4000,500,5000,1000,501,8.0,0.0
10091,8250,20,80,20,120,40,21,4.0,0.5
10092,1223616,500,22812,500,23812,1000,501,45.624,0.0
10093,279807,965,1334,965,3333,1999,1003,3.9879999999999995,1.0
10094,823316,915,9490,915,11320,1830,917,10.372,0.0
10095,1152954,920,12016,920,13856,1840,922,13.061,0.0
10096,1060838,985,10724,985,12694,1970,987,10.887,0.0
10098,253565,0,2723,0,3216,493,494,5.523,0.0
10099,10245966,75,599,75,749,150,76,7.987,0.0
1010,57605,0,1120,0,1190,70,71,16.0,0.0
10100,804437,0,14047,0,14341,294,295,47.779,0.0
10103,1819235,500,18506,500,19506,1000,501,37.012,0.0
10104,1068787,500,19234,500,20234,1000,501,38.468,0.0
10106,212928,0,3000,0,3500,500,501,6.0,0.0
10107,668403,0,11000,0,11500,500,501,22.0,0.0
10108,476909,500,7328,500,8328,1000,501,14.656,0.0
10109,4161615,500,5000,500,6000,1000,501,10.0,0.0
10110,460073,500,3998,500,4998,1000,501,7.996,0.0
10111,113203,156,1768,156,2080,312,157,11.333,0.0
10112,262305,0,3000,0,3500,500,501,6.0,0.0
10118,887942,924,11966,924,13814,1848,926,12.95,0.0
1012,666122,500,14433,500,15433,1000,502,28.866,0.5
10121,196313,0,2804,0,3024,220,221,12.745,0.0
10123,513150,500,6500,500,7500,1000,501,13.0,0.0
10124,345610,500,4000,500,5000,1000,501,8.0,0.0
10125,3245186,0,36995,0,38319,1324,1325,83.699,0.5
10127,57393,73,797,73,943,146,74,10.918,0.0
10128,498232,500,9575,500,10575,1000,501,19.15,1.0
10130,325773,0,3601,0,4101,500,501,7.202,0.0
10131,253830,500,2471,500,3471,1000,501,4.942,0.0
10132,403986,500,5946,500,6946,1000,501,11.892,0.0
10133,69543,0,1022,0,1098,76,77,13.447,0.0
10134,475895,500,7662,500,8662,1000,501,15.324,0.0
10138,1427346,500,23415,500,24415,1000,501,46.83,0.0
10139,5489765,500,9988,500,10988,1000,501,19.976,0.0
10140,270365,0,3500,0,4000,500,501,7.0,0.0
10141,2495039,500,17410,500,18410,1000,501,34.82,0.0
10142,9981524,45,359,45,449,90,46,7.978,0.0
10143,271273,0,2470,0,2970,500,501,4.94,0.0
10146,2249679,0,11945,0,12445,500,501,23.89,0.0
10147,320949,500,4499,500,5499,1000,502,8.998,0.0
10148,644049,0,8500,0,9000,500,501,17.0,0.0
10149,470520,0,6000,0,6500,500,501,12.0,0.0
10151,768846,500,11123,500,12123,1000,502,22.246,0.0
10152,25958,21,257,21,299,42,23,12.238,0.0
10153,74982,185,734,185,1104,370,187,3.968,0.0
10154,301360,500,3000,500,4000,1000,502,6.0,0.0
10155,1374105,985,10710,985,12680,1970,987,10.873,0.0
10157,310283,500,3975,500,4975,1000,502,7.95,0.0
10158,90847,228,1345,228,1801,456,229,5.899,0.0
10160,569443,500,8996,500,9996,1000,502,17.992,0.0
10161,1919774,500,31464,500,32464,1000,502,62.928,0.0
10162,2595563,500,39316,500,40316,1000,502,78.632,0.0
10163,398407,500,6034,500,7034,1000,501,12.068,0.0
10164,586610,461,8266,461,9688,1422,963,8.601,0.0
10165,788367,985,10730,985,12700,1970,987,10.893,1.0
10166,387743,500,5871,500,6871,1000,501,11.742,0.0
10167,225895,500,2499,500,3499,1000,501,4.998,0.0
10169,724360,0,11214,0,11714,500,501,22.428,0.0
10173,259458,500,3472,500,4472,1000,501,6.944,0.0
10174,644055,500,11938,500,12938,1000,501,23.876,0.0
10175,340549,0,5432,0,5932,500,501,10.864,0.0
10177,97970,0,1202,0,1409,207,208,5.807,0.0
10178,160908,315,1900,315,2530,630,316,6.032,0.0
10179,281921,500,4099,500,5099,1000,501,8.198,0.0
10180,739358,0,3000,0,3500,500,501,6.0,0.5
10181,263688,0,3000,0,3500,500,501,6.0,0.5
10182,219703,500,2495,500,3495,1000,501,4.99,0.0
10184,468472,0,8008,0,8508,500,501,16.016,0.0
10185,368873,0,5000,0,5500,500,501,10.0,0.0
10186,274006,366,3926,366,4658,732,367,10.727,0.0
10187,367652,500,4000,500,5000,1000,501,8.0,0.5
10188,191121,0,2000,0,2500,500,501,4.0,0.0
10189,394738,500,5873,500,6873,1000,501,11.746,0.0
10190,6806,0,70,0,85,15,16,4.667,0.0
10191,230272,0,2294,0,2794,500,501,4.588,0.0
10192,381887,0,2500,0,3000,500,501,5.0,0.0
10193,272533,0,3000,0,3500,500,501,6.0,0.0
10195,218155,500,2990,500,3990,1000,501,5.98,0.0
10196,401043,0,7127,0,7627,500,501,14.254,0.0
10197,227153,0,2227,0,2727,500,501,4.454,0.0
10198,172078,0,2734,0,3007,273,274,10.015,0.0
10201,170595,500,1500,500,2500,1000,501,3.0,0.0
10202,635110,0,8007,0,8507,500,501,16.014,0.0
10203,841789,0,11000,0,11500,500,501,22.0,0.0
10204,17366,43,129,43,215,86,44,3.0,0.0
10205,118511,191,1143,191,1525,382,192,5.984,0.0
10206,287115,500,2764,500,3764,1000,501,5.528,0.0
10207,456719,0,5500,0,6000,500,501,11.0,0.0
10209,275632,0,2882,0,3382,500,501,5.764,0.0
10211,566767,500,10983,500,11983,1000,501,21.966,0.5
10212,256207,0,3000,0,3500,500,501,6.0,0.0
10213,622117,0,10097,0,10597,500,501,20.194,0.0
10215,52004,0,804,0,882,78,79,10.308,0.5
10216,516816,0,7500,0,8000,500,501,15.0,0.0
10217,240261,0,2490,0,2990,500,501,4.98,0.0
10218,266236,0,2999,0,3499,500,501,5.998,0.0
10219,15994,0,254,0,282,28,29,9.071,0.0
1022,789073,0,12500,0,13000,500,501,25.0,0.5
10220,677983,0,10887,0,11310,423,424,25.738,0.0
10221,1148852,0,20811,0,21311,500,501,41.622,0.0
10222,202060,500,2045,500,3045,1000,501,4.09,0.0
10223,556252,0,7610,0,8110,500,501,15.22,0.0
10225,220708,500,2503,500,3503,1000,501,5.006,0.0
10226,206638,500,2267,500,3267,1000,501,4.534,0.0
10227,636866,0,6370,0,6870,500,501,12.74,0.0
10228,567037,0,9499,0,9999,500,501,18.998,0.0
10229,650184,0,9810,0,10310,500,501,19.62,0.0
10230,1055336,0,18342,0,18842,500,501,36.684,0.0
10232,610197,500,11461,500,12461,1000,501,22.922,0.0
10233,260262,0,2998,0,3498,500,501,5.996,0.0
10234,368454,0,5000,0,5500,500,501,10.0,0.0
10236,565698,500,9848,500,10848,1000,501,19.696,0.0
10237,337739,0,5500,0,6000,500,501,11.0,0.5
10238,20890,0,320,0,360,40,41,8.0,0.0
10239,239609,0,2500,0,3000,500,501,5.0,0.5
1024,787885,0,12500,0,13000,500,501,25.0,0.0
10240,123793,286,1430,286,2002,572,287,5.0,0.0
10241,912106,0,13923,0,14423,500,501,27.846,0.0
10243,493966,500,7884,500,8884,1000,501,15.768,0.0
10244,609491,500,10592,500,11592,1000,501,21.184,1.0
10245,278669,500,3000,500,4000,1000,501,6.0,0.0
10246,68943,105,945,105,1155,210,106,9.0,0.0
10247,509318,0,7538,0,8538,1000,845,15.076,0.0
10248,370659,500,6553,500,7553,1000,501,13.106,0.0
10250,153221,80,2160,80,2320,160,81,27.0,0.0
10252,258093,500,3500,500,4500,1000,501,7.0,0.5
10254,405679,500,5500,500,6500,1000,501,11.0,0.0
10255,254119,500,4000,500,5000,1000,501,8.0,0.0
10256,2099499,500,26208,500,27208,1000,501,52.416,0.5
10257,578844,500,7500,500,8500,1000,501,15.0,0.0
10258,53148,66,686,66,818,132,67,10.394,0.0
10259,2733926,500,33249,500,34249,1000,501,66.498,0.5
10260,426148,500,7000,500,8000,1000,501,14.0,0.0
10261,472180,500,8719,500,9719,1000,501,17.438,0.0
10266,450675,500,8021,500,9021,1000,501,16.042,0.5
10267,362831,500,4452,500,5452,1000,501,8.904,0.0
10268,896043,500,18349,500,19349,1000,501,36.698,0.0
10270,733794,500,12280,500,13280,1000,501,24.56,0.0
10275,71328,147,659,147,953,294,148,4.483,0.8333333333333334
10276,941035,500,15147,500,16147,1000,501,30.294,0.0
10277,422779,500,6000,500,7000,1000,501,12.0,0.0
10278,394987,0,5523,0,6523,1000,1000,11.046,0.0
10279,251871,500,4000,500,5000,1000,501,8.0,0.0
1028,8795,0,63,0,84,21,22,3.0,0.0
10280,192203,126,2016,126,2268,252,127,16.0,0.5833333333333334
10281,297277,500,4000,500,5000,1000,502,8.0,0.0
10282,130119,183,2152,183,2518,366,184,11.76,0.0
10283,458696,301,6622,301,7224,602,302,22.0,0.0
10285,2341829,500,23500,500,24500,1000,501,47.0,0.5
10286,648645,500,8840,500,9840,1000,501,17.68,0.0
10287,596185,500,7500,500,8500,1000,501,15.0,0.0
10288,255128,500,4000,500,5000,1000,501,8.0,0.0
10289,361896,500,6000,500,7000,1000,501,12.0,0.0
10290,576578,500,9000,500,10000,1000,501,18.0,0.0
10292,144630,231,1848,231,2310,462,232,8.0,0.0
10293,401888,500,5703,500,6703,1000,501,11.406,0.0
10294,332064,500,5000,500,6000,1000,501,10.0,0.0
10295,285725,500,3000,500,4000,1000,501,6.0,0.0
10296,824115,500,11267,500,12267,1000,501,22.534,0.0
10297,243010,0,3500,0,4000,500,501,7.0,0.0
10298,2728577,500,30706,500,31706,1000,501,61.412,0.0
10299,95490,68,1218,68,1354,136,69,17.912,0.0
10300,350790,500,6484,500,7484,1000,501,12.968,0.0
1031,3226,3,15,3,21,6,4,5.0,0.0
10317,1055664,985,10726,985,12696,1970,987,10.889,0.0
10318,1412456,985,10730,985,12700,1970,987,10.893,0.0
10319,90847,228,1345,228,1801,456,229,5.899,0.0
1032,10647,12,180,12,204,24,13,15.0,0.0
10320,1287136,985,8710,985,10680,1970,987,8.843,0.0
10322,10953,35,69,35,139,70,36,1.971,0.0
10323,6847,18,54,18,90,36,19,3.0,0.0
10324,32804,61,305,61,427,122,62,5.0,0.0
10326,706613,0,13989,0,14489,500,501,27.978,0.0
10327,938,0,3,0,4,1,2,3.0,0.5
10328,5293,7,56,7,70,14,8,8.0,0.0
1033,155562,44,2573,44,2661,88,45,58.477,0.0
10330,5300,7,56,7,70,14,8,8.0,0.0
10331,450954,0,5874,0,6374,500,501,11.748,0.0
10332,4609,6,48,6,60,12,7,8.0,0.0
10333,23431,37,280,37,354,74,38,7.568,0.0
10334,2166,0,20,0,21,1,2,20.0,0.0
10335,242792,0,3500,0,4000,500,501,7.0,0.0
10336,199700,500,2000,500,3000,1000,501,4.0,0.0
10338,22730,0,305,0,342,37,38,8.243,0.0
10339,260094,0,2998,0,3498,500,501,5.996,0.5
10342,67320,0,1078,0,1176,98,99,11.0,0.0
10344,4555,12,36,12,60,24,13,3.0,0.0
10347,43738,0,417,0,459,42,43,9.929,0.0
10348,489731,500,4000,500,5000,1000,501,8.0,0.8333333333333334
10349,11102,0,90,0,120,30,31,3.0,0.5
1035,414892,0,8500,0,9000,500,501,17.0,0.5
10350,7088,0,66,0,78,12,13,5.5,0.0
10352,185079,319,2552,319,3190,638,320,8.0,0.0
10354,160884,187,2804,187,3178,374,188,14.995,0.0
10355,12439,32,96,32,160,64,33,3.0,0.0
10356,39388,49,588,49,686,98,50,12.0,0.0
10357,281212,0,3995,0,4495,500,501,7.99,0.75
10358,287607,500,3779,500,4779,1000,501,7.558,0.0
10359,261876,0,3500,0,4000,500,501,7.0,0.0
10362,157297,0,2345,0,2680,335,336,7.0,0.0
10363,42099,0,365,0,458,93,94,3.925,0.5
10364,18733,0,202,0,228,26,27,7.769,0.0
10365,1524847,500,39486,500,40986,1500,1002,39.486,0.0
10366,4303,0,37,0,49,12,13,3.083,0.0
10367,240135,0,3500,0,4000,500,501,7.0,0.0
10368,73799,0,1261,0,1358,97,98,13.0,1.0
10371,3207,0,36,0,40,4,5,9.0,0.0
10372,372819,500,5500,500,6500,1000,501,11.0,0.0
10373,506269,500,7462,500,8462,1000,501,14.924,0.0
10374,20227,58,174,58,290,116,59,3.0,0.0
10375,4091,0,30,0,40,10,11,3.0,0.0
10377,2126,1,19,1,21,2,2,19.0,0.0
10378,5094,0,48,0,60,12,13,4.0,0.0
10379,2320,0,18,0,21,3,4,6.0,0.0
1038,2212,5,15,5,25,10,6,3.0,0.0
10380,9313,0,108,0,126,18,19,6.0,0.0
10381,4930,10,40,10,60,20,11,4.0,0.0
10382,31074,0,630,0,645,15,16,42.0,0.0
10383,46878,0,544,0,637,93,94,5.849,0.0
10384,14532,37,111,37,185,74,38,3.0,0.0
10387,239732,0,3500,0,4000,500,501,7.0,0.0
10388,12478,18,242,18,278,36,19,13.444,0.0
10389,5415,0,53,0,60,7,8,7.571,0.0
10390,375463,500,5500,500,6500,1000,501,11.0,0.0
10391,941293,500,14210,500,15210,1000,501,28.42,0.0
10394,261853,0,3500,0,4000,500,501,7.0,0.0
10395,12643,19,288,19,326,38,20,15.158,0.0
10397,105132,0,1129,0,1224,95,96,11.884,0.0
10398,299390,149,3278,149,3576,298,151,22.0,0.0
1040,11870,12,204,12,228,24,13,17.0,0.0
10406,797121,500,10004,500,11004,1000,502,20.008,0.5
10407,364174,500,5009,500,6009,1000,502,10.018,0.0
10408,329377,149,4768,149,5066,298,151,32.0,0.5
1041,15859,12,78,12,105,27,16,6.5,0.0
10419,469731,500,8494,500,9494,1000,501,16.988,0.0
10420,616935,0,3000,0,3500,500,501,6.0,0.0
10421,608892,0,10231,0,10731,500,501,20.462,0.0
10422,575814,500,7850,500,8850,1000,501,15.7,0.0
10423,418835,500,8000,500,9000,1000,501,16.0,0.0
10424,1818996,0,29154,0,29654,500,501,58.308,0.0
10425,861863,0,16171,0,16671,500,501,32.342,0.0
10426,694270,0,12293,0,12793,500,501,24.586,0.0
10427,686153,500,8500,500,9500,1000,501,17.0,0.0
10428,143897,0,1625,0,1950,325,326,5.0,0.0
10429,344028,60,5580,60,5700,120,61,93.0,0.0
10430,382400,0,6500,0,7000,500,501,13.0,0.0
10431,480302,500,7552,500,8552,1000,501,15.104,0.0
10432,331644,0,3605,0,4105,500,501,7.21,0.0
10433,539786,0,7320,0,7820,500,501,14.64,0.0
10434,337863,0,6636,0,7136,500,501,13.272,0.0
10435,880540,0,15384,0,15884,500,501,30.768,0.0
10437,643755,0,12455,0,12955,500,501,24.91,0.0
10438,217672,500,2469,500,3469,1000,502,4.938,0.0
10439,150612,348,1682,348,2378,696,350,4.833,0.0
1044,350857,0,5000,0,5500,500,501,10.0,0.0
10440,223536,500,2500,500,3500,1000,502,5.0,0.0
10441,31506,78,390,78,546,156,79,5.0,0.0
10442,224091,500,2500,500,3500,1000,502,5.0,0.0
10444,715080,999,10433,999,12431,1998,1002,10.443,0.0
10445,761870,971,9163,971,11605,2442,1474,9.437,0.0
10446,95241,217,1058,217,1492,434,219,4.876,0.0
10448,204062,500,2500,500,3500,1000,502,5.0,0.0
10449,418668,500,7000,500,8000,1000,501,14.0,1.0
10450,525291,500,9820,500,10820,1000,501,19.64,1.0
10451,423425,500,7000,500,8000,1000,501,14.0,1.0
10452,680779,500,9703,500,10703,1000,501,19.406,0.75
10453,141662,147,1308,147,1602,294,148,8.898,0.0
10454,447089,500,7507,500,8507,1000,501,15.014,1.0
10455,370467,500,4529,500,5529,1000,501,9.058,0.0
10457,295614,500,4864,500,5864,1000,501,9.728,0.0
10465,328410,500,3600,500,4600,1000,501,7.2,0.0
10466,355588,0,4500,0,5000,500,501,9.0,0.0
10467,247107,500,2500,500,3500,1000,501,5.0,0.0
10468,423223,500,6508,500,7508,1000,501,13.016,0.0
1047,74366,110,880,110,1100,220,111,8.0,0.0
10474,346043,457,3916,457,4830,914,458,8.569,0.0
10475,1414105,500,32402,500,33402,1000,501,64.804,0.0
10476,1422821,500,31959,500,32959,1000,501,63.918,0.0
10477,304014,500,3500,500,4500,1000,501,7.0,0.0
10478,520949,500,8253,500,9253,1000,501,16.506,0.0
10480,1033808,500,24625,500,25625,1000,501,49.25,0.0
10481,392917,500,6500,500,7500,1000,501,13.0,0.0
10482,2195041,500,4000,500,5000,1000,501,8.0,0.0
10483,631343,0,10500,0,11000,500,501,21.0,0.0
10484,400857,500,4956,500,5956,1000,501,9.912,0.0
10486,5009,10,40,10,60,20,11,4.0,0.0
10487,13046,31,93,31,155,62,32,3.0,0.0
10488,3612,0,40,0,48,8,9,5.0,0.0
10490,5335,7,56,7,70,14,8,8.0,0.0
10491,11608,0,108,0,144,36,37,3.0,0.0
10492,412117,500,6000,500,7000,1000,501,12.0,0.0
10493,2239,0,15,0,20,5,6,3.0,0.0
10494,35117,48,631,48,727,96,49,13.146,0.0
10495,7123,16,63,16,95,32,17,3.938,0.0
10496,4930,0,46,0,52,6,7,7.667,0.5
10497,439410,500,6418,500,7418,1000,501,12.836,0.0
10498,16006,0,153,0,204,51,52,3.0,1.0
10499,15996,30,150,30,210,60,31,5.0,0.0
10500,30370,44,358,44,446,88,45,8.136,1.0
10501,262540,0,3500,0,4000,500,501,7.0,0.0
10503,270689,500,3805,500,4805,1000,501,7.61,1.0
10504,957694,500,11827,500,13327,1500,1001,23.654,0.0
10505,58434,70,487,70,627,140,71,6.957,0.0
10506,378833,0,3756,0,4756,1000,957,7.512,0.0
10507,283349,500,3996,500,4996,1000,501,7.992,0.5
10508,5331,7,56,7,70,14,8,8.0,0.0
10509,120069,33,1555,33,1621,66,34,47.121,0.0
1051,16978,5,269,5,279,10,6,53.8,0.0
10510,783700,500,6500,500,7986,1486,952,13.0,0.0
10511,6912,0,67,0,77,10,11,6.7,0.0
10512,9691,35,43,35,113,70,36,1.229,0.0
10513,22942,0,271,0,304,33,34,8.212,0.0
10514,1539568,0,12436,0,12863,427,428,29.124,0.0
10515,2803,0,20,0,25,5,6,4.0,0.0
10518,406614,0,6857,0,7357,500,501,13.714,0.0
10519,7571,0,72,0,84,12,13,6.0,0.0
10520,4149,0,42,0,49,7,8,6.0,0.0
10522,23095,4,20,4,28,8,5,5.0,0.0
10523,20116,47,141,47,235,94,48,3.0,0.0
10524,2674,5,20,5,30,10,6,4.0,0.0
10526,358164,500,4480,500,5480,1000,501,8.96,0.0
10527,248953,500,2497,500,3497,1000,501,4.994,0.5
10528,3418,0,30,0,34,4,5,7.5,0.0
10530,309418,500,6102,500,7102,1000,501,12.204,0.0
10532,2793,0,20,0,25,5,6,4.0,0.0
10533,33004,63,441,63,567,126,64,7.0,0.0
10534,4128,0,37,0,45,8,9,4.625,0.0
10536,581048,0,7240,0,8240,1000,839,14.48,0.0
10538,40393,0,440,0,495,55,56,8.0,0.0
10539,5125,7,53,7,67,14,8,7.571,0.0
10543,11278,0,116,0,132,16,17,7.25,0.0
10544,2814,0,24,0,32,8,9,3.0,0.5
10545,292823,0,3500,0,4000,500,501,7.0,0.0
10546,277311,500,3965,500,4965,1000,501,7.93,0.75
10547,10805,19,95,19,133,38,20,5.0,0.0
10548,280975,0,3995,0,4495,500,501,7.99,0.75
10549,436166,500,5573,500,6573,1000,501,11.146,0.0
1055,3374,0,28,0,35,7,8,4.0,0.0
10551,5301,7,56,7,70,14,8,8.0,0.0
10552,177267,245,735,245,1225,490,246,3.0,0.0
10553,228092,308,1180,308,1796,616,309,3.831,0.5
10554,582469,896,7348,896,9640,2292,1398,5.264,0.0
10555,473416,500,4000,500,5000,1000,501,8.0,1.0
10556,780106,0,13000,0,13500,500,501,26.0,0.0
10557,19909,26,203,26,255,52,27,7.808,0.0
10559,7577,0,84,0,98,14,15,6.0,0.0
1056,270044,121,2205,121,2447,242,122,18.223,0.5
10560,296456,0,3500,0,4000,500,501,7.0,0.5
10561,264402,500,3000,500,4000,1000,501,6.0,0.0
10563,5309,7,56,7,70,14,8,8.0,0.0
10564,4626,7,39,7,53,14,8,5.571,0.0
10565,290851,0,3924,0,4424,500,501,7.848,0.0
10567,101031,209,1045,209,1463,418,210,5.0,0.0
10568,20503,61,183,61,305,122,62,3.0,0.0
10570,2023,0,12,0,16,4,5,3.0,0.0
10571,3420607,500,58083,500,59083,1000,501,116.166,0.0
10572,28051,63,252,63,378,126,64,4.0,0.0
10574,389593,0,6500,0,7000,500,501,13.0,0.0
10575,8604,8,164,8,180,16,9,20.5,0.0
10576,29427,0,249,0,332,83,84,3.0,0.5
10577,18488,0,172,0,194,22,23,7.818,0.0
10578,339116,0,4500,0,5000,500,501,9.0,0.0
10580,8901,12,173,12,197,24,13,14.417,0.5
10581,17027,17,478,17,512,34,18,28.118,0.0
10582,9120,28,84,28,140,56,29,3.0,0.0
10583,16596,0,228,0,266,38,39,6.0,0.0
10584,261998,0,3500,0,4000,500,501,7.0,0.0
10585,291573,0,3500,0,4000,500,501,7.0,0.5
10586,336570,0,4500,0,5000,500,501,9.0,0.0
10587,246738,500,3000,500,4000,1000,501,6.0,0.0
10588,256551,500,3000,500,4000,1000,501,6.0,0.0
10589,17006,0,206,0,231,25,26,8.24,0.5
10590,240147,0,3500,0,4000,500,501,7.0,0.0
10591,300297,0,3049,0,4049,1000,960,6.098,0.0
10592,2121,0,19,0,20,1,2,19.0,0.0
10593,599109,500,18000,500,19000,1000,501,36.0,0.0
10594,364458,0,6118,0,6618,500,501,12.236,0.0
10596,675184,0,8922,0,9922,1000,1001,17.844,1.0
10597,9378,35,41,35,111,70,36,1.171,0.0
10598,10728,0,124,0,149,25,26,4.96,0.5
10599,38338,0,360,0,452,92,93,3.913,0.5
1060,1423930,0,28500,0,29000,500,501,57.0,0.0
10600,480238,0,6828,0,7328,500,501,13.656,0.0
10601,94521,139,695,139,973,278,140,5.0,0.0
10602,3891,8,48,8,64,16,9,6.0,0.0
10603,53420,174,522,174,870,348,175,3.0,0.0
10604,582492,500,7969,500,8969,1000,501,15.938,0.0
10605,3812,8,48,8,64,16,9,6.0,0.0
10606,465098,0,5000,0,5500,500,501,10.0,0.0
10607,3969,5,40,5,50,10,6,8.0,0.0
10608,1526,1,10,1,12,2,2,10.0,0.0
10610,241167,500,3000,500,4000,1000,501,6.0,0.0
10611,8415,15,105,15,135,30,16,7.0,0.0
10612,661861,165,4707,165,5037,330,166,28.527,0.0
10613,12615,32,96,32,160,64,33,3.0,0.0
10614,279852,0,3989,0,4489,500,501,7.978,0.75
10615,69788,84,747,84,915,168,85,8.893,0.0
10617,6708,6,96,6,108,12,8,16.0,0.0
10619,54561,121,605,121,847,242,123,5.0,0.0
1062,74363,110,880,110,1100,220,111,8.0,0.0
10620,127115,165,1320,165,1815,495,330,8.0,0.0
10621,11835,20,120,20,160,40,22,6.0,0.5
10624,1890840,500,31974,500,32974,1000,501,63.948,0.0
10627,1876485,0,31774,0,32274,500,501,63.548,0.0
10628,3307485,0,58812,0,59312,500,501,117.624,0.0
1063,9814,4,27,4,37,10,7,6.75,0.0
10630,3312878,500,59000,500,60000,1000,501,118.0,0.0
10633,673474,500,11233,500,12233,1000,501,22.466,0.0
10634,3308162,500,58812,500,59812,1000,501,117.624,0.0
10636,292012,500,4500,500,5500,1000,501,9.0,0.0
10638,205613,157,1934,157,2248,314,158,12.318,0.0
10639,242036,500,2500,500,3500,1000,501,5.0,0.0
10640,1151748,500,5994,500,6994,1000,501,11.988,0.0
10641,85442,192,1344,192,1728,384,193,7.0,0.0
10642,300673,263,2905,263,3694,789,527,11.046,0.0
10649,228454,500,3000,500,4000,1000,501,6.0,0.0
1065,325646,500,4723,500,5723,1000,501,9.446,0.0
10650,238592,500,3000,500,4000,1000,501,6.0,0.0
10652,309867,500,4000,500,5000,1000,501,8.0,0.0
10653,392989,500,2986,500,3986,1000,501,5.972,0.0
10654,1049,1,6,1,8,2,3,6.0,0.0
10655,2341967,103,927,103,1133,206,105,9.0,0.0
10656,805744,500,8000,500,9000,1000,502,16.0,0.0
10657,487001,0,3779,0,4779,1000,1001,7.558,0.5
1066,452279,500,7024,500,8024,1000,501,14.048,0.0
10662,195226,500,2500,500,3500,1000,501,5.0,0.0
10664,1937553,0,371,0,424,53,54,7.0,0.0
10665,408490,0,105,0,120,15,16,7.0,0.0
10666,317332,500,4000,500,5000,1000,501,8.0,0.0
10667,4307974,0,2492,0,2848,356,357,7.0,0.0
1067,80804,96,1404,96,1596,192,97,14.625,0.0
10671,302051,0,168,0,192,24,25,7.0,0.0
10672,265437,0,4073,0,4573,500,501,8.146,0.0
10673,399624,0,6984,0,7484,500,501,13.968,0.0
10674,517598,0,7000,0,7500,500,501,14.0,0.0
10675,367022,500,4000,500,5000,1000,501,8.0,0.0
